X,CH1,CH2,
Second,Volt,Volt,
1.18e+00,1.12e+00,1.26e+00,
1.19e+00,1.44e+00,1.28e+00,
1.19e+00,1.36e+00,1.26e+00,
1.20e+00,1.12e+00,1.28e+00,
1.20e+00,1.12e+00,1.28e+00,
1.20e+00,1.44e+00,1.26e+00,
1.21e+00,1.44e+00,1.28e+00,
1.21e+00,1.12e+00,1.24e+00,
1.22e+00,1.04e+00,1.28e+00,
1.22e+00,1.36e+00,1.30e+00,
1.22e+00,1.52e+00,1.28e+00,
1.23e+00,1.20e+00,1.26e+00,
1.23e+00,1.04e+00,1.26e+00,
1.24e+00,1.36e+00,1.28e+00,
1.24e+00,1.52e+00,1.26e+00,
1.24e+00,1.20e+00,1.24e+00,
1.25e+00,1.04e+00,1.24e+00,
1.25e+00,1.36e+00,1.28e+00,
1.26e+00,1.52e+00,1.28e+00,
1.26e+00,1.20e+00,1.26e+00,
1.26e+00,1.04e+00,1.26e+00,
1.27e+00,1.28e+00,1.30e+00,
1.27e+00,1.36e+00,1.30e+00,
1.28e+00,1.52e+00,1.26e+00,
1.28e+00,1.36e+00,1.26e+00,
1.28e+00,1.04e+00,1.30e+00,
1.29e+00,1.20e+00,1.28e+00,
1.29e+00,1.52e+00,1.26e+00,
1.30e+00,1.44e+00,1.24e+00,
1.30e+00,1.04e+00,1.30e+00,
1.30e+00,1.20e+00,1.30e+00,
1.31e+00,1.52e+00,1.26e+00,
1.31e+00,1.36e+00,1.26e+00,
1.32e+00,1.12e+00,1.28e+00,
1.32e+00,1.28e+00,1.28e+00,
1.32e+00,1.52e+00,1.30e+00,
1.33e+00,1.44e+00,1.28e+00,
1.33e+00,1.12e+00,1.34e+00,
1.34e+00,1.04e+00,1.32e+00,
1.34e+00,1.52e+00,1.36e+00,
1.34e+00,1.52e+00,1.30e+00,
1.35e+00,1.04e+00,1.34e+00,
1.35e+00,1.12e+00,1.34e+00,
1.36e+00,1.52e+00,1.28e+00,
1.36e+00,1.52e+00,1.30e+00,
1.36e+00,1.04e+00,1.26e+00,
1.37e+00,1.04e+00,1.30e+00,
1.37e+00,1.52e+00,1.26e+00,
1.38e+00,1.52e+00,1.26e+00,
1.38e+00,1.20e+00,1.22e+00,
1.38e+00,1.12e+00,1.24e+00,
1.39e+00,1.44e+00,1.28e+00,
1.39e+00,1.44e+00,1.26e+00,
1.40e+00,1.12e+00,1.28e+00,
1.40e+00,1.12e+00,1.28e+00,
1.40e+00,1.36e+00,1.32e+00,
1.41e+00,1.52e+00,1.28e+00,
1.41e+00,1.04e+00,1.26e+00,
1.42e+00,1.04e+00,1.26e+00,
1.42e+00,1.44e+00,1.30e+00,
1.42e+00,1.52e+00,1.28e+00,
1.43e+00,1.20e+00,1.24e+00,
1.43e+00,1.04e+00,1.28e+00,
1.44e+00,1.36e+00,1.30e+00,
1.44e+00,1.52e+00,1.32e+00,
1.44e+00,1.28e+00,1.28e+00,
1.45e+00,1.20e+00,1.28e+00,
