X,CH1,CH2,
Second,Volt,Volt,
1.36e+00,-5.84e-01,-6.24e-01,
1.36e+00,-6.48e-01,-6.56e-01,
1.37e+00,-6.56e-01,-6.56e-01,
1.37e+00,-7.52e-01,-6.32e-01,
1.38e+00,-6.56e-01,-6.24e-01,
1.38e+00,-5.60e-01,-6.56e-01,
1.38e+00,-6.48e-01,-6.56e-01,
1.39e+00,-7.44e-01,-6.16e-01,
1.39e+00,-6.88e-01,-6.24e-01,
1.40e+00,-5.52e-01,-6.56e-01,
1.40e+00,-6.16e-01,-6.56e-01,
1.40e+00,-7.52e-01,-6.24e-01,
1.41e+00,-7.12e-01,-6.24e-01,
1.41e+00,-5.68e-01,-6.56e-01,
1.42e+00,-5.76e-01,-6.56e-01,
1.42e+00,-7.44e-01,-6.32e-01,
1.42e+00,-7.12e-01,-6.24e-01,
1.43e+00,-5.52e-01,-6.56e-01,
1.43e+00,-5.76e-01,-6.56e-01,
1.44e+00,-7.44e-01,-6.16e-01,
1.44e+00,-7.28e-01,-6.16e-01,
1.44e+00,-5.60e-01,-6.48e-01,
1.45e+00,-5.76e-01,-6.24e-01,
1.45e+00,-7.44e-01,-6.56e-01,
1.46e+00,-7.44e-01,-6.48e-01,
1.46e+00,-5.44e-01,-6.16e-01,
1.46e+00,-5.60e-01,-6.48e-01,
1.47e+00,-7.36e-01,-6.24e-01,
1.47e+00,-6.96e-01,-6.48e-01,
1.48e+00,-5.60e-01,-6.16e-01,
1.48e+00,-5.44e-01,-6.48e-01,
1.48e+00,-6.88e-01,-6.16e-01,
1.49e+00,-7.12e-01,-6.32e-01,
1.49e+00,-5.36e-01,-6.00e-01,
1.50e+00,-5.04e-01,-6.16e-01,
1.50e+00,-6.80e-01,-5.92e-01,
1.50e+00,-7.12e-01,-6.16e-01,
1.51e+00,-5.60e-01,-5.84e-01,
1.51e+00,-5.20e-01,-5.84e-01,
1.52e+00,-6.32e-01,-6.08e-01,
1.52e+00,-6.96e-01,-6.08e-01,
1.52e+00,-5.92e-01,-5.84e-01,
1.53e+00,-5.44e-01,-6.16e-01,
1.53e+00,-6.40e-01,-5.84e-01,
1.54e+00,-7.12e-01,-5.84e-01,
1.54e+00,-6.32e-01,-6.16e-01,
1.54e+00,-5.44e-01,-5.92e-01,
1.55e+00,-6.48e-01,-6.16e-01,
1.55e+00,-7.44e-01,-6.32e-01,
1.56e+00,-6.24e-01,-6.00e-01,
1.56e+00,-6.72e-01,-6.16e-01,
1.56e+00,-5.76e-01,-6.40e-01,
1.57e+00,-6.48e-01,-6.24e-01,
1.57e+00,-7.44e-01,-6.48e-01,
1.58e+00,-6.48e-01,-6.24e-01,
1.58e+00,-5.76e-01,-6.56e-01,
1.58e+00,-6.40e-01,-6.56e-01,
1.59e+00,-7.52e-01,-6.24e-01,
1.59e+00,-7.20e-01,-6.32e-01,
1.60e+00,-6.16e-01,-6.64e-01,
1.60e+00,-6.80e-01,-6.48e-01,
1.60e+00,-8.16e-01,-6.72e-01,
1.61e+00,-7.36e-01,-6.72e-01,
1.61e+00,-4.24e-01,-6.88e-01,
1.62e+00,-4.24e-01,-6.88e-01,
1.62e+00,-2.88e-01,-6.40e-01,
1.62e+00,-2.96e-01,-6.24e-01,
1.63e+00,-1.04e-01,-4.88e-01,
1.63e+00,-1.68e-01,-4.80e-01,
1.64e+00,-6.40e-01,-3.20e-01,
1.64e+00,-6.32e-01,-3.04e-01,
1.64e+00,-8.16e-01,-3.44e-01,
1.65e+00,-8.16e-01,-3.44e-01,
1.65e+00,-9.84e-01,-5.44e-01,
1.66e+00,-9.92e-01,-5.52e-01,
1.66e+00,-8.16e-01,-7.44e-01,
1.66e+00,-8.16e-01,-7.36e-01,
1.67e+00,-1.00e+00,-8.56e-01,
1.67e+00,-9.76e-01,-8.48e-01,
1.68e+00,-6.88e-01,-8.80e-01,
1.68e+00,-6.96e-01,-8.88e-01,
1.68e+00,-7.92e-01,-8.48e-01,
1.69e+00,-7.92e-01,-8.56e-01,
1.69e+00,-6.24e-01,-7.76e-01,
1.70e+00,-5.76e-01,-7.84e-01,
1.70e+00,-7.04e-01,-7.12e-01,
1.70e+00,-7.44e-01,-7.20e-01,
1.71e+00,-6.00e-01,-6.72e-01,
1.71e+00,-5.60e-01,-6.72e-01,
1.72e+00,-6.80e-01,-6.48e-01,
1.72e+00,-7.44e-01,-6.72e-01,
1.72e+00,-6.24e-01,-6.32e-01,
1.73e+00,-5.52e-01,-6.56e-01,
1.73e+00,-6.64e-01,-6.24e-01,
1.74e+00,-7.44e-01,-6.48e-01,
1.74e+00,-6.16e-01,-6.16e-01,
1.74e+00,-6.32e-01,-6.16e-01,
1.75e+00,-5.28e-01,-6.48e-01,
1.75e+00,-6.08e-01,-6.40e-01,
1.76e+00,-7.28e-01,-6.16e-01,
1.76e+00,-6.32e-01,-6.24e-01,
1.76e+00,-5.12e-01,-6.00e-01,
1.77e+00,-5.92e-01,-6.24e-01,
1.77e+00,-6.96e-01,-5.92e-01,
1.78e+00,-6.32e-01,-6.00e-01,
1.78e+00,-5.12e-01,-5.84e-01,
1.78e+00,-5.60e-01,-6.08e-01,
